"INDICADOR","DESCRIÇÃO"
"idhm","Índice de Desenvolvimento Humano"
"idhm_e","Índice de Desenvolvimento Humano – Componente Educação"
"e_anosestudo","Expectativa de anos de estudo"
"t_analf11a14","Taxa de analfabetismo - 11 a 14 anos"
"t_analf15a17","Taxa de analfabetismo - 15 a 17 anos "
"t_analf15m","Taxa de analfabetismo - 15 anos ou mais "
"t_analf18a24","Taxa de analfabetismo - 18 a 24 anos "
"t_analf18m","Taxa de analfabetismo - 18 anos ou mais "
"t_analf25a29","Taxa de analfabetismo - 25 a 29 anos "
"t_analf25m","Taxa de analfabetismo - 25 anos ou mais"
"t_atraso_0_basico","% de 6 a 17 anos no básico sem atraso"
"t_atraso_0_fund","% de 6 a 14 anos no fundamental sem atraso"
"t_atraso_0_med","% de 15 a 17 anos no médio sem atraso"
"t_atraso_1_basico","% de 6 a 17 no básico com 1 ano de atraso"
"t_atraso_1_fund","% de 6 a 14 anos no fundamental com 1 ano de atraso"
"t_atraso_1_med","% de 15 a 17 no médio com 1 ano de atraso"
"t_atraso_2_basico","% de 6 a 17 anos no básico com 2 anos ou mais de atraso"
"t_atraso_2_fund","% de 6 a 14 anos no fundamental com 2 anos ou mais de atraso"
"t_atraso_2_med","% de 15 a 17 anos no médio com 2 anos de atraso"
"t_fbbas","Taxa de frequência bruta ao básico"
"t_fbfund","Taxa de frequência bruta ao fundamental"
"t_fbmed","Taxa de frequência bruta ao médio"
"t_fbpre","Taxa de frequência bruta à pré-escola"
"t_fbsuper","Taxa de frequência bruta ao superior"
"t_flbas","Taxa de frequência líquida ao básico"
"t_flfund","Taxa de frequência líquida ao fundamental"
"t_flmed","Taxa de frequência líquida ao médio"
"t_flpre","Taxa de frequência líquida à pré-escola"
"t_flsuper","Taxa de frequência líquida ao superior"
"t_freq11a14","% de 11 a 14 anos na escola"
"t_freq15a17","% de 15 a 17 anos na escola"
"t_freq18a24","% de 18 a 24 anos na escola"
"t_freq25a29","% de 25 a 29 anos na escola"
"t_freq5a6","% de 5 a 6 anos na escola"
"t_freq6","% de 6 anos na escola"
"t_freq6a14","% de 6 a 14 anos na escola"
"t_freq6a17","% de 6 a 17 anos na escola"
"t_freqfund1517","% de 15 a 17 anos no fundamental"
"t_freqfund1824","% de 18 a 24 anos no fundamental"
"t_freqmed1824","% de 18 a 24 anos no médio"
"t_freqmed614","% de 6 a 14 anos no médio"
"t_freqsuper1517","% de 15 a 17 anos no superior"
"t_fund11a13","% de 11 a 13 anos nos anos finais do fundamental ou com fundamental completo"
"t_fund12a14","% de 12 a 14 anos nos anos finais do fundamental ou com fundamental completo"
"t_fund15a17","% de 15 a 17 anos com fundamental completo"
"t_fund16a18","% de 16 a 18 anos com fundamental completo"
"t_fund18a24","% de 18 a 24 anos com fundamental completo"
"t_fund18m","% de 18 anos ou mais com fundamental completo"
"t_fund25m","% de 25 anos ou mais com fundamental completo"
"t_med18a20","% de 18 a 20 anos com médio completo"
"t_med18a24","% de 18 a 24 anos com médio completo"
"t_med18m","% de 18 anos ou mais com médio completo"
"t_med19a21","% de 19 a 21 anos com médio completo"
"t_med25m","% de 25 anos ou mais com médio completo"
"t_super25m","% de 25 anos ou mais com superior completo"
